num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
15.0,Mar de Cortés,9223667.0,desembarque,Mexicana,7265.0,115.33,20.0,carguero,9.0,Navecopa,Isla Cedros,2024-12-30 11:40:00,Santa Rosalia,2025-01-05 03:00:00,cabotaje entrada,general suelta,sal a granel,10010.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,135.0,134.0,87.10000000000001,enero,2025
16.0,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2024-12-27 06:30:00,Via la Pesca,2025-01-05 18:12:00,cabotaje entrada,general suelta,atún,425.078,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,228.0,227.0,147.55,enero,2025
,Maria Beatriz,,embarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2024-12-27 06:30:00,Via la Pesca,2025-01-05 18:12:00,cabotaje salida,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,enero,2025
17.0,Marieta,,embarque,Mexicana,914.0,50.16,10.0,atunero,5.0,Administracion y Logistica Match Personnel Sapi de Cv,Via la Pesca,2024-11-07 18:30:00,Via la Pesca,2025-01-20 20:50:00,cabotaje salida,general suelta,sal en sacos,70.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,155.0,154.0,100.1,enero,2025
18.0,Maria Antonieta,,desembarque,Mexicana,1155.55,61.0,12.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,sin dato,Via la Pesca,sin dato,cabotaje entrada,general suelta,atun,867.778,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,enero,2025
,Maria Antonieta,,embarque,Mexicana,1155.55,61.0,12.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,sin dato,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,70.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,enero,2025
19.0,Caro Linda,7827445.0,embarque,Mexicana,1998.0,76.2,13.0,atunero,6.0,Pesca Industrial Atunera de Altura Sa de Cv,Via la Pesca,2024-12-12 07:30:00,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,180.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,73.0,72.0,46.8,enero,2025
20.0,Mazcu I,,embarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,sin dato,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,22.5,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,enero,2025
21.0,Clarion,7515341.0,embarque,Mexicana,1012.75,55.1,11.0,atunero,5.0,"Hersea, S.A. de C.V.",Via la Pesca,sin dato,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,90.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,enero,2025
22.0,El Titi I,,embarque,Mexicana,1050.0,61.79,12.0,atunero,7.0,Servicios Nauticos Mundiales S.A. de C.V.,Via la Pesca,2024-11-10 12:00:00,Via la Pesca,2025-02-03 13:05:00,cabotaje salida,general suelta,sal en sacos,120.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,605.0,604.0,392.6,enero,2025
23.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2024-12-31 08:30:00,"La Paz, Bc",2025-01-01 16:27:00,cabotaje entrada,general suelta,mercancías diversas,1316.37,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2024-12-31 08:30:00,"La Paz, Bc",2025-01-01 16:27:00,cabotaje salida,general suelta,mercancías diversas,1665.42,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
24.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-03 08:40:00,"La Paz, Bc",2025-01-03 16:26:00,cabotaje entrada,general suelta,mercancías diversas,2160.66,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-03 08:40:00,"La Paz, Bc",2025-01-03 16:26:00,cabotaje salida,general suelta,mercancías diversas,3985.908,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
25.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-05 08:29:00,"La Paz, Bc",2025-01-05 16:29:00,cabotaje entrada,general suelta,mercancías diversas,1672.85,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-05 08:29:00,"La Paz, Bc",2025-01-05 16:29:00,cabotaje salida,general suelta,mercancías diversas,3439.045,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
26.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-08 08:42:00,"La Paz, Bc",2025-01-08 16:27:00,cabotaje entrada,general suelta,mercancías diversas,1702.15,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-08 08:42:00,"La Paz, Bc",2025-01-08 16:27:00,cabotaje salida,general suelta,mercancías diversas,2407.84,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
27.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-10 08:24:00,"La Paz, Bc",2025-01-10 16:20:00,cabotaje entrada,general suelta,mercancías diversas,1866.75,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-10 08:24:00,"La Paz, Bc",2025-01-10 16:20:00,cabotaje salida,general suelta,mercancías diversas,3949.864,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
28.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-12 08:30:00,"La Paz, Bc",2025-01-12 16:33:00,cabotaje entrada,general suelta,mercancías diversas,1988.55,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-12 08:30:00,"La Paz, Bc",2025-01-12 16:33:00,cabotaje salida,general suelta,mercancías diversas,3157.75,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
29.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-15 08:05:00,"La Paz, Bc",2025-01-15 17:10:00,cabotaje entrada,general suelta,mercancías diversas,1318.66,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-15 08:05:00,"La Paz, Bc",2025-01-15 17:10:00,cabotaje salida,general suelta,mercancías diversas,2774.186,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
30.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-17 08:30:00,"La Paz, Bc",2025-01-17 16:50:00,cabotaje entrada,general suelta,mercancías diversas,1840.36,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-17 08:30:00,"La Paz, Bc",2025-01-17 16:50:00,cabotaje salida,general suelta,mercancías diversas,3925.78,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
31.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-19 08:30:00,"La Paz, Bc",2025-01-19 17:10:00,cabotaje entrada,general suelta,mercancías diversas,1769.89,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-19 08:30:00,"La Paz, Bc",2025-01-19 17:10:00,cabotaje salida,general suelta,mercancías diversas,4043.4,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
32.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-22 08:50:00,"La Paz, Bc",2025-01-22 16:33:00,cabotaje entrada,general suelta,mercancías diversas,1658.0,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,enero,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-22 08:50:00,"La Paz, Bc",2025-01-22 16:33:00,cabotaje salida,general suelta,mercancías diversas,2977.93,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,enero,2025
33.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-01-24 08:20:00,"La Paz, Bc",2025-01-24 16:18:00,cabotaje entrada,general suelta,mercancías diversas,1662.7,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,enero,2025
