num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
15.0,Isabela Island,9791884.0,desembarque,Hong Kong,23432.0,180.0,30.0,carguero,10.0,Pan Ocean Co Ltd,"Inchon, Korea",2025-04-10 12:20:00,"Tampa Flor, U.S.A.",2025-04-12 09:09:00,altura / importación,general suelta,rollos de lamina,3588.438,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,44.0,43.0,27.95,abril,2025
16.0,Santa Serena,9527934.0,desembarque,Japon,23691.0,184.0,30.0,carguero,10.0,"Wooyang Shipping Co., Ltd","Ensenada, B.C.",2025-04-18 13:45:00,Lazaro Cardenas,2025-04-19 08:50:00,altura / importación,general suelta,rollos de lamina,3532.203,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,19.0,18.0,11.7,abril,2025
17.0,Fortune Cookie,9908449.0,desembarque,Liberia,23225.0,179.97,30.0,carguero,8.0,Hawk Marine Corp. S.A.,"Ensenada, B.C.",2025-04-19 15:25:00,"Manzanillo, Col",2025-04-20 10:55:00,altura / importación,general suelta,rollos de lamina,2004.176,,,,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,18.0,17.0,11.05,abril,2025
18.0,Anne,9593294.0,desembarque,Singapur,31540.0,190.0,32.0,carguero,12.0,Kawasaki Kisen Kaisha Ltd,"Ensenada, B.C.",2025-04-20 12:25:00,"Manzanillo, Col",2025-04-21 12:20:00,altura / importación,general suelta,rollos de lamina,7272.781,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,23.0,22.0,14.3,abril,2025
19.0,Bohol Island,9926025.0,desembarque,Panama,23602.0,179.9,30.0,carguero,10.0,"Toko Kaiun Kaisha, Ltd","Yokohama, Japon",2025-04-22 13:15:00,"Manzanillo, Col",2025-04-24 20:19:00,altura / importación,general suelta,rollos de lamina,5239.983,,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,24.0,23.0,14.95,abril,2025
20.0,Nehir,9969120.0,desembarque,Islas Marshall,23232.0,180.0,30.0,carguero,10.0,Toko Kaiun Kaisha Ltd,"Osaka, Japon",2025-04-24 12:20:00,"Manzanillo, Col",2025-04-27 17:05:00,altura / importación,general suelta,rollos de lamina,4486.623,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,45.0,44.0,28.6,abril,2025
,Nehir,9969120.0,desembarque,Islas Marshall,23232.0,180.0,30.0,carguero,10.0,Toko Kaiun Kaisha Ltd,"Osaka, Japon",2025-04-24 12:20:00,"Manzanillo, Col",2025-04-27 17:05:00,altura / importación,general suelta,varios,3348.416,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
21.0,Asl Leban,9547178.0,desembarque,Islas Marshall,22852.0,178.0,28.0,carguero,10.0,Sk Shipping Co Ltd,"Ensenada, B.C.",2025-04-28 14:50:00,"Manzanillo, Col",2025-04-29 23:35:00,altura / importación,general suelta,rollos de lamina,4065.13,,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,33.0,32.0,20.8,abril,2025
22.0,Mar de Cortes,9223667.0,desembarque,Mexicana,7265.0,115.33,20.0,carguero,9.0,Humboldt Shipmanagement,"Cedros, Mexico",2025-04-12 20:15:00,"Santa Rosalia, Mexico",2025-04-18 10:25:00,cabotaje entrada,general suelta,sal a granel,10000.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,133.0,132.0,85.8,abril,2025
23.0,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-03-30 04:00:00,Via la Pesca,2025-04-09 20:50:00,cabotaje entrada,general suelta,atún,348.258,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,30.0,29.0,18.85,abril,2025
,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-03-30 04:00:00,Via la Pesca,2025-04-09 20:50:00,cabotaje salida,general suelta,sal en sacos,28.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
24.0,Marieta,,desembarque,Mexicana,914.0,50.16,10.0,atunero,5.0,Administracion y Logistica Match Personnel Sapi de Cv,Via la Pesca,2025-04-12 17:30:00,Via la Pesca,2025-05-02 14:50:00,cabotaje entrada,general suelta,atún,577.067,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
,Marieta,,desembarque,Mexicana,914.0,50.16,10.0,atunero,5.0,Administracion y Logistica Match Personnel Sapi de Cv,Via la Pesca,2025-04-12 17:30:00,Via la Pesca,2025-05-02 14:50:00,cabotaje salida,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
25.0,Mazcu I,,desembarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-04-13 15:30:00,Via la Pesca,2025-04-23 10:07:00,cabotaje entrada,general suelta,atún,313.382,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,50.0,49.0,31.85,abril,2025
,Mazcu I,,desembarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-04-13 15:30:00,Via la Pesca,2025-04-23 10:07:00,cabotaje salida,general suelta,sal en sacos,13.5,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
26.0,Carol Linda,7827445.0,desembarque,Mexicana,1998.0,76.2,13.0,atunero,6.0,Pesca Industrial Atunera de Altura Sa de Cv,Via la Pesca,2025-03-31 11:48:00,Via la Pesca,2025-04-23 06:45:00,cabotaje entrada,general suelta,atun,998.349,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,42.0,41.0,26.65,abril,2025
27.0,Conquista,,embarque,Mexicana,918.17,59.3,12.0,atunero,6.0,"Agropesca del Fuerte, S.A. de C.V.",Via la Pesca,2025-04-09 18:20:00,Via la Pesca,sin dato,cabotaje salida,general suelta,atún,812.641,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,abril,2025
28.0,Constanza,,desembarque,Mexicana,1308.0,70.0,13.0,atunero,7.0,Agencia Maritima Yamilay,Via la Pesca,2025-02-01 15:30:00,Via la Pesca,2025-04-22 09:41:00,cabotaje salida,general suelta,sal en sacos,50.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,21.0,20.0,13.0,abril,2025
29.0,Clarion,7515341.0,embarque,Mexicana,1012.75,55.1,11.0,atunero,5.0,"Hersea, S.A. de C.V.",Via la Pesca,2025-03-12 19:30:00,Via la Pesca,2025-04-10 19:45:00,cabotaje salida,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,695.0,694.0,451.1,abril,2025
