num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Sanderling Ace,9409481.0,embarque,Islas Marshall,58685.0,199.95,32.0,car-carrier,10.0,"Kansai Steamship Co, Ltd",Lazaro Cardenas,2025-05-22 11:00:00,"Los Angeles, Ca",2025-05-25 18:24:00,altura / exportación,general suelta,vehiculos,2090.777,1508.0,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
14.0,Carrera,9432880.0,desembarque,Inglaterra,46800.0,182.8,32.0,car-carrier,9.0,"Portman House, 2 Portman St. W1H 6Du, London, United Kingdom","Busan, Korea",2025-05-27 21:20:00,Mexico,2025-05-28 10:15:00,altura / importación,general suelta,vehiculos,1688.039,1003.0,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,13.0,12.0,7.800000000000001,mayo,2025
15.0,Rising Sun,9700574.0,desembarque,Panama,21267.0,179.99,28.0,carguero,7.0,Toko Kaiun Kaisha Ltd,"Yawata, Japon",2025-05-02 06:49:00,"Long Beach, U.S.A.",2025-05-04 13:51:00,altura / importación,general suelta,rollos de lamina,19562.784,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,55.0,54.0,35.1,mayo,2025
16.0,Sandy Bay,9887011.0,desembarque,Panama,24386.0,183.0,30.0,carguero,10.0,Pan Ocean Co Ltd,"Ensenada, B.C.",2025-05-19 09:50:00,"Manzanillo, Col",2025-05-20 11:24:00,altura / importación,general suelta,rollos de lamina,4576.516,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,22.0,21.0,13.65,mayo,2025
17.0,New Leader,9932660.0,desembarque,Liberia,25852.0,182.99,32.0,carguero,11.0,Trampa,"Ensenada, B.C.",2025-05-20 20:30:00,"Manzanillo, Col",2025-05-21 22:20:00,altura / importación,general suelta,rollos de lamina,5737.114,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,26.0,25.0,16.25,mayo,2025
18.0,New Maximum,9932672.0,desembarque,Liberia,25852.0,183.0,32.0,carguero,10.0,Pan Ocean Co Ltd,"Ensenada, B.C.",2025-05-24 13:48:00,"Manzanillo, Col",2025-05-25 10:13:00,altura / importación,general suelta,rollos de lamina,2796.658,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,21.0,20.0,13.0,mayo,2025
19.0,Maria Antonieta,,desembarque,Mexicana,1155.55,61.0,12.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-05-12 08:46:00,Via la Pesca,2025-05-28 15:45:00,cabotaje entrada,general suelta,atun,822.4,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,55.0,54.0,35.1,mayo,2025
,Maria Antonieta,,embarque,Mexicana,1155.55,61.0,12.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-05-12 08:46:00,Via la Pesca,2025-05-28 15:45:00,cabotaje salida,general suelta,sal en sacos,70.0,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
20.0,Mazcu I,,desembarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-05-09 06:45:00,Via la Pesca,2025-05-13 16:30:00,cabotaje entrada,general suelta,atún,111.502,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,106.0,105.0,68.25,mayo,2025
,Mazcu I,,embarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-05-09 06:45:00,Via la Pesca,2025-05-13 16:30:00,cabotaje salida,general suelta,sal en sacos,4.5,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
21.0,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-05-14 09:00:00,Via la Pesca,sin dato,cabotaje entrada,general suelta,atún,459.365,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
22.0,Clarion,7515341.0,desembarque,Mexicana,1012.75,55.1,11.0,atunero,5.0,"Hersea, S.A. de C.V.",Via la Pesca,2025-05-17 08:30:00,Via la Pesca,sin dato,cabotaje entrada,general suelta,atún,538.87,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
23.0,El Titi I,,embarque,Mexicana,1050.0,61.79,12.0,atunero,7.0,Servicios Nauticos Mundiales S.A. de C.V.,Via la Pesca,2025-05-26 06:00:00,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,6.0,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
24.0,Maria Guadalupe,,embarque,Mexicana,915.84,55.0,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-04-21 08:45:00,Via la Pesca,2025-05-24 00:25:00,cabotaje salida,general suelta,sal en sacos,70.0,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,681.0,680.0,442.0,mayo,2025
25.0,Madeira,,embarque,Mexicana,1004.42,49.34,10.0,atunero,4.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-05-17 06:50:00,Via la Pesca,sin dato,cabotaje salida,general suelta,sal en sacos,9.0,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,mayo,2025
26.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-02 08:42:00,"La Paz, Bc",2025-05-02 16:27:00,cabotaje entrada,general suelta,mercancías diversas,1900.21,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-02 08:42:00,"La Paz, Bc",2025-05-02 16:27:00,cabotaje salida,general suelta,mercancías diversas,2418.13,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
27.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-04 09:06:00,"La Paz, Bc",2025-05-04 16:19:00,cabotaje entrada,general suelta,mercancías diversas,2538.7,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-04 09:06:00,"La Paz, Bc",2025-05-04 16:19:00,cabotaje salida,general suelta,mercancías diversas,4081.62,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
28.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-07 08:50:00,"La Paz, Bc",2025-05-07 16:55:00,cabotaje entrada,general suelta,mercancías diversas,2458.55,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-07 08:50:00,"La Paz, Bc",2025-05-07 16:55:00,cabotaje salida,general suelta,mercancías diversas,3000.24,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
29.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-09 08:40:00,"La Paz, Bc",2025-05-09 16:50:00,cabotaje entrada,general suelta,mercancías diversas,2145.67,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,mayo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-05-09 08:40:00,"La Paz, Bc",2025-05-09 16:50:00,cabotaje salida,general suelta,mercancías diversas,2780.44,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,mayo,2025
