num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
14.0,Lowlands Wealth,9986972.0,desembarque,Islas Marshall,36452.0,199.99,32.0,carguero,13.0,Sk Shipping Co Ltd,"Busan, Korea",2025-02-19 05:50:00,Lazaro Cardenas,2025-02-20 07:43:00,altura / importacion,general suelta,rollos de lamina,1613.04,,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,25.0,24.0,15.6,febrero,2025
15.0,Europa Bay,9615767.0,desembarque,Singapur,33366.0,197.0,32.0,carguero,12.0,Kawasaki Kisen Kaisha Ltd,"Ensenada, B.C.",2025-02-19 19:56:00,"Manzanillo, Col",2025-02-21 03:27:00,altura / importacion,general suelta,rollos de lamina,6796.865,,,,5,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,32.0,31.0,20.15,febrero,2025
16.0,Nanjing Confidence,9769697.0,desembarque,Portugal,25606.0,179.95,32.0,carguero,10.0,Oriental Shipping Enterprises S.A.,"Yokohama, Japon",2025-02-22 05:40:00,"Manzanillo, Col",2025-02-22 20:48:00,altura / importacion,general suelta,rollos de lamina,2319.707,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
,Nanjing Confidence,9769697.0,embarque,Portugal,25606.0,179.95,32.0,carguero,10.0,Oriental Shipping Enterprises S.A.,"Yokohama, Japon",2025-02-22 05:40:00,"Manzanillo, Col",2025-02-22 20:48:00,altura / exportacion,general suelta,camiones,18.249,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
17.0,Maria Beatriz,,desembarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-02-06 06:55:00,Via a la Pesca,2025-02-19 10:45:00,cabotaje entrada,general suelta,atún,326.697,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,314.0,313.0,203.45,febrero,2025
,Maria Beatriz,,embarque,Mexicana,891.98,53.64,11.0,atunero,5.0,Atuneros Unidos de California S.A de C.V,Via la Pesca,2025-02-06 06:55:00,Via a la Pesca,2025-02-19 10:45:00,cabotaje salida,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
18.0,Mazcu I,,desembarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-02-19 16:30:00,Via a la Pesca,2025-02-22 17:00:00,cabotaje entrada,general suelta,atún,189.821,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,72.0,71.0,46.15,febrero,2025
,Mazcu I,,embarque,Mexicana,205.92,32.98,9.0,atunero,5.0,"Pesquera Mazcu I, S.A. de C.V.",Via la Pesca,2025-02-19 16:30:00,Via a la Pesca,2025-02-22 17:00:00,cabotaje salida,general suelta,sal en sacos,7.5,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
19.0,Marieta,,desembarque,Mexicana,914.0,50.16,10.0,atunero,5.0,Administracion y Logistica Match Personnel Sapi de Cv,Via la Pesca,2025-02-15 11:00:00,Via a la Pesca,2025-02-24 20:05:00,cabotaje entrada,general suelta,atún,574.077,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,225.0,224.0,145.6,febrero,2025
,Marieta,,embarque,Mexicana,914.0,50.16,10.0,atunero,5.0,Administracion y Logistica Match Personnel Sapi de Cv,Via la Pesca,2025-02-15 11:00:00,Via a la Pesca,2025-02-24 20:05:00,cabotaje salida,general suelta,sal en sacos,40.0,,,,1,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,febrero,2025
