num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
9.0,San Martin,9382097.0,desembarque,Chipre,40619.0,176.0,31.0,carguero,9.0,Nsc Shipping Gmbh & Cie. Kg,"Nagoya, Japon",2025-03-22 08:33:00,"Mazatlan, Sin",2025-03-25 11:23:00,altura / importación,general suelta,vehiculos,2321.36277,1399.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,47.0,46.0,29.9,marzo,2025
,San Martin,9382097.0,desembarque,Chipre,40619.0,176.0,31.0,carguero,9.0,Nsc Shipping Gmbh & Cie. Kg,"Nagoya, Japon",2025-03-22 08:33:00,"Mazatlan, Sin",2025-03-25 11:23:00,altura / exportación,general suelta,camiones,25.422,,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,,,,marzo,2025
10.0,Rcc Shanghai,9361823.0,desembarque,Bahamas,41009.0,176.0,31.0,carguero,10.0,Hyundai Glovis Co Ltd,"Kwangyang, Corea del Sur",2025-03-25 11:30:00,Lazaro Cardenas,2025-03-27 20:43:00,altura / importación,general suelta,vehiculos,1842.7279965250968,1558.0,,,6,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,15.0,14.0,9.1,marzo,2025
,Rcc Shanghai,9361823.0,desembarque,Bahamas,41009.0,176.0,31.0,carguero,10.0,Hyundai Glovis Co Ltd,"Kwangyang, Corea del Sur",2025-03-25 11:30:00,Lazaro Cardenas,2025-03-27 20:43:00,altura / importación,general suelta,camiones,4.985,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,23.0,22.0,14.3,marzo,2025
11.0,Progress Ace,9267687.0,desembarque,Panama,57789.0,199.54,32.0,car-carrier,7.0,Mitsui O.S.K. Line (Mol),Lazaro Cardenas,2025-03-26 18:00:00,"Balboa, Panama",2025-03-27 11:37:00,altura / importación,general suelta,vehiculos,1619.6650000000002,987.0,,,6,Terminal Maritima de Mazatlan,Sin Dato,16.0,15.0,9.75,marzo,2025
12.0,Lapis Arrow,9361809.0,desembarque,Bahamas,41000.0,176.0,31.0,car-carrier,9.0,Hyundai Glovis,"Zhangjiagang, China",2025-03-26 11:20:00,Lazaro Cardenas,2025-03-29 00:30:00,altura / importación,general suelta,vehiculos,1620.31,1298.0,,,3,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,44.0,43.0,27.95,marzo,2025
13.0,Salinas,9805324.0,desembarque,Panama,21282.0,180.0,28.0,carguero,10.0,Leyte Navigation S.A.,"Yawata, Japon",2025-03-12 10:10:00,"Manzanillo, Col",2025-03-13 12:47:00,altura / importación,general suelta,rollos de lamina,2595.858,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,16.0,15.0,9.75,marzo,2025
14.0,Texas Harmony,9846160.0,desembarque,Panama,24331.0,182.87,31.0,carguero,7.9,Dowa Line Co Ltd,"Tobata, Japon",2025-03-12 23:00:00,"Manzanillo, Col",2025-03-15 15:10:00,altura / importación,general suelta,rollos de lamina,16332.843,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,49.0,48.0,31.200000000000003,marzo,2025
15.0,United Harmony,9755672.0,desembarque,Panama,24328.0,183.0,31.0,carguero,9.0,Wooyang Shipping,"Yokohama, Japon",2025-03-15 20:30:00,"Manzanillo, Col",2025-03-16 17:52:00,altura / importación,general suelta,rollos de lamina,6121.127,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,21.0,20.0,13.0,marzo,2025
16.0,Pan Optimun,9890915.0,desembarque,Panama,23238.0,179.0,29.0,carguero,10.0,Pan Ocean Co Ltd,"Ensenada, B.C.",2025-03-19 15:35:00,"Manzanillo, Col",2025-03-22 02:25:00,altura / importación,general suelta,rollos de lamina,6041.949,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,20.0,19.0,12.35,marzo,2025
17.0,Prt Dream,9524011.0,desembarque,Panama,31756.0,189.99,32.0,carguero,8.0,Meritus de Mexico,"Ensenada, B.C.",2025-03-20 10:30:00,"Manzanillo, Col",2025-03-22 20:23:00,altura / importación,general suelta,rollos de lamina,4732.334,,,,2,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,20.0,19.0,12.35,marzo,2025
18.0,Houston Harmony,9845984.0,desembarque,Panama,24331.0,182.87,31.0,carguero,10.0,North Bridge Navigation Inc,"Nagoya, Japon",2025-03-21 08:25:00,"Manzanillo, Col",2025-03-23 11:05:00,altura / importación,general suelta,rollos de lamina,5983.103,,,,4,Terminal Maritima de Mazatlan,Terminal Maritima de Mazatlan,29.0,28.0,18.2,marzo,2025
