num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
23.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-01 09:00:00,"La Paz, Bc",2025-06-01 16:40:00,cabotaje entrada,general suelta,mercancías diversas,2780.72,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,junio,2025
24.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-04 09:00:00,"La Paz, Bc",2025-06-04 16:50:00,cabotaje entrada,general suelta,mercancías diversas,2639.1,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
25.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-06 09:00:00,"La Paz, Bc",2025-06-06 16:30:00,cabotaje entrada,general suelta,mercancías diversas,2221.58,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
26.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-08 08:50:00,"La Paz, Bc",2025-06-08 16:50:00,cabotaje entrada,general suelta,mercancías diversas,2717.6,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
27.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-11 08:35:00,"La Paz, Bc",2025-06-11 16:43:00,cabotaje entrada,general suelta,mercancías diversas,2493.5,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
28.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-13 09:00:00,"La Paz, Bc",2025-06-13 16:18:00,cabotaje entrada,general suelta,mercancías diversas,2190.39,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
29.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-15 09:00:00,"La Paz, Bc",2025-06-15 18:46:00,cabotaje entrada,general suelta,mercancías diversas,3071.85,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",10.0,9.0,5.85,junio,2025
30.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-18 09:10:00,"La Paz, Bc",2025-06-18 16:35:00,cabotaje entrada,general suelta,mercancías diversas,2809.97,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
31.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-20 09:15:00,"La Paz, Bc",2025-06-20 16:36:00,cabotaje entrada,general suelta,mercancías diversas,2190.7,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
32.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-22 10:26:00,"La Paz, Bc",2025-06-22 17:10:00,cabotaje entrada,general suelta,mercancías diversas,3100.6,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",7.0,6.0,3.9,junio,2025
33.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-25 09:27:00,"La Paz, Bc",2025-06-25 16:34:00,cabotaje entrada,general suelta,mercancías diversas,2631.75,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
34.0,Mexico Star,9138800.0,desembarque,mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-27 05:47:00,"La Paz, Bc",,cabotaje entrada,general suelta,mercancías diversas,2425.4,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,junio,2025
35.0,Cabo Star,8500680.0,desembarque,mexicana,30678.0,193.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-06-29 06:33:00,"La Paz, Bc",2025-06-29 16:35:00,cabotaje entrada,general suelta,mercancías diversas,2626.91,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",11.0,10.0,6.5,junio,2025
36.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-03 10:45:00,"La Paz, Bc",2025-06-03 18:55:00,cabotaje entrada,general suelta,mercancías diversas,2217.7,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",8.0,7.0,4.55,junio,2025
37.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-05 09:55:00,"La Paz, Bc",2025-06-05 18:06:00,cabotaje entrada,general suelta,mercancías diversas,2410.83,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
38.0,San Jorge,9186637.0,desembarque,mexicana,13073.0,142.0,23.0,transbordador,6.0,"Transportacion Maritima de California, S.A. de C.V.","La Paz, Bc",2025-06-07 11:10:00,"La Paz, Bc",2025-06-07 20:45:00,cabotaje entrada,general suelta,mercancías diversas,2700.58,,,,T-2,Transbordadores,"Transportacion Maritima de California, S.A.De C.V.",9.0,8.0,5.2,junio,2025
